Document Title,Authors,Publication Title,Publication Year,Volume,Issue,Start Page,End Page,ISBNs,DOI,Author Keywords,Publisher
Generative Adversarial Network-Based Intra Prediction for Video Coding,L. Zhu; S. Kwong; Y. Zhang; S. Wang; X. Wang,IEEE Transactions on Multimedia,2020,22,1,45,58,,10.1109/TMM.2019.2924591,Generative adversarial network;intra prediction;inpainting;high efficiency video coding;versatile video coding,IEEE
PAPR Reduction Using Iterative Clipping/Filtering and ADMM Approaches for OFDM-Based Mixed-Numerology Systems,X. Liu; X. Zhang; L. Zhang; P. Xiao; J. Wei; H. Zhang; V. C. M. Leung,IEEE Transactions on Wireless Communications,2020,19,4,2586,2600,,10.1109/TWC.2020.2966600,OFDM;mixed-numerology;PAPR reduction;clipping and filtering;optimization;ADMM,IEEE
Exploring the Hand and Finger-Issued Behaviors Toward Natural Authentication,H. Wang; T. Chen; X. Liu; J. Chen,IEEE Access,2020,8,,55815,55825,,10.1109/ACCESS.2020.2981828,Biometrics;authentication;wearable computers,IEEE
MUMI: Multitask Module Identification for Biological Networks,W. Chen; Z. Zhu; S. He,IEEE Transactions on Evolutionary Computation,2020,24,4,765,776,,10.1109/TEVC.2019.2952220,Active module;community detection;multifactorial evolution,IEEE
An Effective Emotional Expression and Knowledge-Enhanced Method for Detecting Adverse Drug Reactions,Z. Li; H. Lin; W. Zheng,IEEE Access,2020,8,,87083,87093,,10.1109/ACCESS.2020.2993169,Adverse drug reaction;medical knowledge;emotional context;co-occurrence dictionary;social text,IEEE
DWFCAT: Dual Watermarking Framework for Industrial Image Authentication and Tamper Localization,A. Kamili; N. N. Hurrah; S. A. Parah; G. M. Bhat; K. Muhammad,IEEE Transactions on Industrial Informatics,2021,17,7,5108,5117,,10.1109/TII.2020.3028612,Authentication;industrial Internet of Things (IIoT);pervasive edge computing (PEC);tamper localization;watermarking,IEEE
"<inline-formula> <tex-math notation=""LaTeX"">$\mathcal{H}_{\infty}$ </tex-math></inline-formula> PID Control With Fading Measurements: The Output-Feedback Case",D. Zhao; Z. Wang; D. Ding; G. Wei,"IEEE Transactions on Systems, Man, and Cybernetics: Systems",2020,50,6,2170,2180,,10.1109/TSMC.2018.2809489,Fading measurements;H∞ control;orthogonal decomposition;output feedback;proportional-integral-derivative (PID) control,IEEE
Novel Cloud-RRH Architecture With Radio Resource Management and QoS Strategies for 5G HetNets,O. Chabbouh; S. Ben Rejeb; N. Nasser; N. Agoulmine; Z. Choukair,IEEE Access,2020,8,,164815,164832,,10.1109/ACCESS.2020.3021948,Cloud RAN;5G HetNets;edge Cloud-RRH;radio resource management;offloading;resource scheduling;resource cost,IEEE
Big Data Driven Marine Environment Information Forecasting: A Time Series Prediction Network,J. Wen; J. Yang; B. Jiang; H. Song; H. Wang,IEEE Transactions on Fuzzy Systems,2021,29,1,4,18,,10.1109/TFUZZ.2020.3012393,Big data;forecasting model;fuzzy time series;long short-term memory (LSTM);semisupervised learning,IEEE
Energy Efficient Resource Allocation in Terahertz Downlink NOMA Systems,H. Zhang; Y. Duan; K. Long; V. C. M. Leung,IEEE Transactions on Communications,2021,69,2,1375,1384,,10.1109/TCOMM.2020.3037597,THz;NOMA;power optimization;subchannel assignment;energy efficiency,IEEE
Computation Outsourcing Meets Lossy Channel: Secure Sparse Robustness Decoding Service in Multi-Clouds,Y. Zhang; J. Zhou; Y. Xiang; L. Y. Zhang; F. Chen; S. Pang; X. Liao,IEEE Transactions on Big Data,2021,7,4,717,728,,10.1109/TBDATA.2017.2711040,Parallel compressive sensing;sparse robustness decoding service;packet-loss;cloud computing,IEEE
Detecting Stealthy Domain Generation Algorithms Using Heterogeneous Deep Neural Network Framework,L. Yang; G. Liu; Y. Dai; J. Wang; J. Zhai,IEEE Access,2020,8,,82876,82889,,10.1109/ACCESS.2020.2988877,Convolutional neural network;cyber security;domain generation algorithm;deep learning;long short term memory,IEEE
Human-in-the-Loop Control Strategy of Unilateral Exoskeleton Robots for Gait Rehabilitation,D. Wei; Z. Li; Q. Wei; H. Su; B. Song; W. He; J. Li,IEEE Transactions on Cognitive and Developmental Systems,2021,13,1,57,66,,10.1109/TCDS.2019.2954289,Gait rehabilitation;human-in-the-loop control;unilateral exoskeleton,IEEE
Improved Whale Optimization Algorithm Based on Nonlinear Adaptive Weight and Golden Sine Operator,J. Zhang; J. S. Wang,IEEE Access,2020,8,,77013,77048,,10.1109/ACCESS.2020.2989445,Whale optimization algorithm;nonlinear adaptive weight;golden sine operator;optimization,IEEE
Consistency Graph Modeling for Semantic Correspondence,J. He; T. Zhang; Y. Zheng; M. Xu; Y. Zhang; F. Wu,IEEE Transactions on Image Processing,2021,30,,4932,4946,,10.1109/TIP.2021.3077138,Semantic correspondence;graph modeling;cycle consistency,IEEE
Falcon: Addressing Stragglers in Heterogeneous Parameter Server Via Multiple Parallelism,Q. Zhou; S. Guo; H. Lu; L. Li; M. Guo; Y. Sun; K. Wang,IEEE Transactions on Computers,2021,70,1,139,155,,10.1109/TC.2020.2974461,Distributed deep learning;straggler;parameter server;heterogeneous environment,IEEE
Unsupervised Person Re-Identification via Multi-Order Cross-View Graph Adversarial Network,X. Fu; X. Lai,IEEE Access,2021,9,,22264,22273,,10.1109/ACCESS.2020.3048834,Unsupervised person re-identification;cross-view graph;graph adversarial network;multi-order correlations,IEEE
NewMCOS: Towards a Practical Multi-Cloud Oblivious Storage Scheme,Z. Liu; B. Li; Y. Huang; J. Li; Y. Xiang; W. Pedrycz,IEEE Transactions on Knowledge and Data Engineering,2020,32,4,714,727,,10.1109/TKDE.2019.2891581,Data privacy;oblivious RAM;cloud storage;access pattern,IEEE
Automated Social Text Annotation With Joint Multilabel Attention Networks,H. Dong; W. Wang; K. Huang; F. Coenen,IEEE Transactions on Neural Networks and Learning Systems,2021,32,5,2224,2238,,10.1109/TNNLS.2020.3002798,Attention mechanisms;automated social annotation;deep learning;multilabel classification;recurrent neural networks (RNNs),IEEE
Diversified Semantic Attention Model for Fine-Grained Entity Typing,Y. Hu; X. Qiao; L. Xing; C. Peng,IEEE Access,2021,9,,2251,2265,,10.1109/ACCESS.2020.3046787,Fine-grained entity typing;diversified semantic attention model (DSAM);long shot-term memory (LSTM);mention-aware attention mechanism,IEEE
Pulmonary Textures Classification via a Multi-Scale Attention Network,R. Xu; Z. Cong; X. Ye; Y. Hirano; S. Kido; T. Gyobu; Y. Kawata; O. Honda; N. Tomiyama,IEEE Journal of Biomedical and Health Informatics,2020,24,7,2041,2052,,10.1109/JBHI.2019.2950006,Attention;computer-aided diagnosis;deep network;diffuse lung diseases;multi-scale;network visualization;pulmonary textures classification,IEEE
Optimal Mobile Computation Offloading with Hard Deadline Constraints,A. Hekmati; P. Teymoori; T. D. Todd; D. Zhao; G. Karakostas,IEEE Transactions on Mobile Computing,2020,19,9,2160,2173,,10.1109/TMC.2019.2920819,Cloud computing;mobile computation offloading;energy efficiency;mobile task execution performance;hard job deadline constraints,IEEE
Video Integrity Verification and GOP Size Estimation Via Generalized Variation of Prediction Footprint,D. Vázquez-Padín; M. Fontani; D. Shullani; F. Pérez-González; A. Piva; M. Barni,IEEE Transactions on Information Forensics and Security,2020,15,,1815,1830,,10.1109/TIFS.2019.2951313,Double compression detection;GOP size estimation;video forensics;B-frames;rate distortion optimization,IEEE
Adaptive Forwarding With Probabilistic Delay Guarantee in Low-Duty-Cycle WSNs,L. Cheng; L. Kong; Y. Song; J. Niu; C. Luo; Y. Gu; S. Mumtaz; T. He,IEEE Transactions on Wireless Communications,2020,19,7,4775,4792,,10.1109/TWC.2020.2987308,Wireless sensor networks;adaptive forwarding;low-duty-cycle;probabilistic delay guarantee,IEEE
Multiscale 2-D Singular Spectrum Analysis and Principal Component Analysis for Spatial–Spectral Noise-Robust Feature Extraction and Classification of Hyperspectral Images,P. Ma; J. Ren; H. Zhao; G. Sun; P. Murray; J. Zheng,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,2021,14,,1233,1245,,10.1109/JSTARS.2020.3040699,Hyperspectral image (HSI);image classification;multiscale 2-D-SSA;principal component analysis (PCA);spatial–spectral feature extraction,IEEE
Device-Clustering and Rate-Splitting Enabled Device-to-Device Cooperation Framework in Fog Radio Access Network,M. Z. Hassan; M. J. Hossain; J. Cheng; V. C. M. Leung,IEEE Transactions on Green Communications and Networking,2021,5,3,1482,1501,,10.1109/TGCN.2021.3079369,Device-to-device communication;fog radio access network;interference management;rate-splitting multiple access,IEEE
Minimizing Redundant Sensing Data Transmissions in Energy-Harvesting Sensor Networks via Exploring Spatial Data Correlations,Z. Guo; J. Peng; W. Xu; W. Liang; W. Wu; Z. Xu; B. Guo; Y. Ivan Wu,IEEE Internet of Things Journal,2021,8,1,512,527,,10.1109/JIOT.2020.3004554,Approximation algorithm;energy-harvesting sensor networks;redundant sensing data;spatial data correlations,IEEE
Cross-Modal Attention With Semantic Consistence for Image–Text Matching,X. Xu; T. Wang; Y. Yang; L. Zuo; F. Shen; H. T. Shen,IEEE Transactions on Neural Networks and Learning Systems,2020,31,12,5412,5425,,10.1109/TNNLS.2020.2967597,Cross-modal attention;cross-modal retrieval;hybrid alignment;image–text matching,IEEE
GANcon: Protein Contact Map Prediction With Deep Generative Adversarial Network,H. Yang; M. Wang; Z. Yu; X. Zhao; A. Li,IEEE Access,2020,8,,80899,80907,,10.1109/ACCESS.2020.2991605,Protein contact map prediction;deep learning;generative adversarial network;adversarial learning,IEEE
Strategy Synthesis for POMDPs in Robot Planning via Game-Based Abstractions,L. Winterer; S. Junges; R. Wimmer; N. Jansen; U. Topcu; J. -P. Katoen; B. Becker,IEEE Transactions on Automatic Control,2021,66,3,1040,1054,,10.1109/TAC.2020.2990140,Partially observable Markov decision process (POMDP);probabilistic model checking;probabilistic two-player game (PG);robot navigation,IEEE
Intelligent Edge Computing in Internet of Vehicles: A Joint Computation Offloading and Caching Solution,Z. Ning; K. Zhang; X. Wang; L. Guo; X. Hu; J. Huang; B. Hu; R. Y. K. Kwok,IEEE Transactions on Intelligent Transportation Systems,2021,22,4,2212,2225,,10.1109/TITS.2020.2997832,Internet of vehicles;peer offloading;content caching;Lyapunov optimization;imitation learning,IEEE
Cyber Threat Predictive Analytics for Improving Cyber Supply Chain Security,A. Yeboah-Ofori; S. Islam; S. W. Lee; Z. U. Shamszaman; K. Muhammad; M. Altaf; M. S. Al-Rakhami,IEEE Access,2021,9,,94318,94337,,10.1109/ACCESS.2021.3087109,Cyber threat intelligence;machine learning;cyber supply chain;predictive analytic;cyber security;tactic techniques procedures,IEEE
Boosting Data-Driven Evolutionary Algorithm With Localized Data Generation,J. -Y. Li; Z. -H. Zhan; C. Wang; H. Jin; J. Zhang,IEEE Transactions on Evolutionary Computation,2020,24,5,923,937,,10.1109/TEVC.2020.2979740,Boosting strategy (BS);data-driven evolutionary algorithm (DDEA);expensive optimization problems (EOPs);localized data generation (LDG);surrogate,IEEE
ESPM: Efficient Spatial Pattern Matching,H. Chen; Y. Fang; Y. Zhang; W. Zhang; L. Wang,IEEE Transactions on Knowledge and Data Engineering,2020,32,6,1227,1233,,10.1109/TKDE.2019.2947505,Spatial pattern matching;inverted linear quadtree,IEEE
Dynamic Markov Chain Monte Carlo-Based Spectrum Sensing,Z. Wang; L. Liu; K. Li,IEEE Signal Processing Letters,2020,27,,1380,1384,,10.1109/LSP.2020.3013529,Spectrum sensing;cognitive radio netwroks;Markov chain Monte Carlo,IEEE
Pairwise Relations Oriented Discriminative Regression,C. Zhang; H. Li; Y. Qian; C. Chen; Y. Gao,IEEE Transactions on Circuits and Systems for Video Technology,2021,31,7,2646,2660,,10.1109/TCSVT.2020.3032964,Latent representation;discriminative regression;pairwise relations;classification,IEEE
Robust Energy-Efficient Transmission for Wireless-Powered D2D Communication Networks,J. Zhang; Y. Zhang; L. Xiang; Y. Sun; D. W. Kwan Ng; M. Jo,IEEE Transactions on Vehicular Technology,2021,70,8,7951,7965,,10.1109/TVT.2021.3095626,Convex optimization;D2D communication;energy efficiency;wireless power transfer,IEEE
Joint Throughput-Power Optimization of Fog-RAN Using Rate-Splitting Multiple Access and Reinforcement-Learning Based User Clustering,M. Z. Hassan; M. J. Hossain; J. Cheng; V. C. M. Leung,IEEE Transactions on Vehicular Technology,2021,70,8,8019,8036,,10.1109/TVT.2021.3090083,Interference management;rate-splitting multiple access;reinforcement learning;user clustering,IEEE
IDSA: An Efficient Algorithm for Skyline Queries Computation on Dynamic and Incomplete Data With Changing States,Y. Gulzar; A. A. Alwan; H. Ibrahim; S. Turaev; S. Wani; A. B. Soomo; Y. Hamid,IEEE Access,2021,9,,57291,57310,,10.1109/ACCESS.2021.3072775,Dynamic database;incomplete database;pairwise comparison;skyline queries,IEEE
CL-ADMM: A Cooperative-Learning-Based Optimization Framework for Resource Management in MEC,X. Zhong; X. Wang; L. Li; Y. Yang; Y. Qin; T. Yang; B. Zhang; W. Zhang,IEEE Internet of Things Journal,2021,8,10,8191,8209,,10.1109/JIOT.2020.3043749,Alternating direction method of multiplier (ADMM);cooperative learning;mobile-edge computing (MEC);resource management,IEEE
Quantum Analysis on Task Allocation and Quality Control for Crowdsourcing With Homogeneous Workers,M. Xu; S. Wang; Q. Hu; H. Sheng; X. Cheng,IEEE Transactions on Network Science and Engineering,2020,7,4,2830,2839,,10.1109/TNSE.2020.2997716,Crowdsourcing;dilemma;quantum game;entanglement.,IEEE
Generalized User Grouping in NOMA: An Overlapping Perspective,W. Chen; S. Zhao; R. Zhang; H. Chen; L. Yang,IEEE Transactions on Wireless Communications,2021,20,5,2876,2887,,10.1109/TWC.2020.3045025,NOMA;overlapping;generalized user grouping;machine learning;power control,IEEE
Dynamic Wireless Information and Power Transfer Scheme for Nano-Empowered Vehicular Networks,L. Feng; A. Ali; M. Iqbal; F. Ali; I. Raza; M. H. Siddiqi; M. Shafiq; S. A. Hussain,IEEE Transactions on Intelligent Transportation Systems,2021,22,7,4088,4099,,10.1109/TITS.2020.3020254,Nano-empowered vehicular networks;nano-communication;wireless power transfer;energy-efficiency optimization;terahertz band;intelligent transportation systems,IEEE
Multi-View Low-Rank Coding-Based Network Data De-Anonymization,X. Xian; T. Wu; S. Qiao; W. Wang; Y. Liu; N. Han,IEEE Access,2020,8,,94575,94593,,10.1109/ACCESS.2020.2995568,Privacy preserving;de-anonymization;network data;multi-view learning;low-rank coding,IEEE
Joint Multi-View Hashing for Large-Scale Near-Duplicate Video Retrieval,X. Nie; W. Jing; C. Cui; C. J. Zhang; L. Zhu; Y. Yin,IEEE Transactions on Knowledge and Data Engineering,2020,32,10,1951,1965,,10.1109/TKDE.2019.2913383,Near-duplicate video retrieval;joint multi-view hashing;one-step learning;video indexing,IEEE
Catnap: A Backoff Scheme for Kernel Spinlocks in Many-Core Systems,Y. Woo; S. Kim; C. Kim; E. Seo,IEEE Access,2020,8,,29842,29856,,10.1109/ACCESS.2020.2970998,Spinlocks;symmetric multithreading;energy efficiency;synchronization;many-core,IEEE
KGSNet: Key-Point-Guided Super-Resolution Network for Pedestrian Detection in the Wild,Y. Zhang; Y. Bai; M. Ding; S. Xu; B. Ghanem,IEEE Transactions on Neural Networks and Learning Systems,2021,32,5,2251,2265,,10.1109/TNNLS.2020.3004819,Pedestrian detection;real-world scenarios;small-scale and heavily occluded;superresolution network,IEEE
Cloud-Assisted Multiview Video Summarization Using CNN and Bidirectional LSTM,T. Hussain; K. Muhammad; A. Ullah; Z. Cao; S. W. Baik; V. H. C. de Albuquerque,IEEE Transactions on Industrial Informatics,2020,16,1,77,86,,10.1109/TII.2019.2929228,Artificial intelligence;cloud computing;convolutional neural networks;industrial surveillance;multiview video summarization (MVS);soft computing;video summarization (VS),IEEE
Weighted Low-Rank Tensor Recovery for Hyperspectral Image Restoration,Y. Chang; L. Yan; X. -L. Zhao; H. Fang; Z. Zhang; S. Zhong,IEEE Transactions on Cybernetics,2020,50,11,4558,4572,,10.1109/TCYB.2020.2983102,Higher order singular value decomposition;hyperspectral image (HSI) restoration;low-rank tensor approximation (LRTA),IEEE
The Impact of Event Processing Flow on Asynchronous Server Efficiency,S. Zhang; Q. Wang; Y. Kanemasa; H. Shan; L. Hu,IEEE Transactions on Parallel and Distributed Systems,2020,31,3,565,579,,10.1109/TPDS.2019.2938500,Asynchronous;event-driven;thread-based;internet servers;efficiency,IEEE
OneShotDA: Online Multi-Object Tracker With One-Shot-Learning-Based Data Association,K. Yoon; J. Gwak; Y. Song; Y. Yoon; M. Jeon,IEEE Access,2020,8,,38060,38072,,10.1109/ACCESS.2020.2975912,Data association;deep learning;multi-object tracking;object recognition;one-shot learning,IEEE
